央视,#genre#
重温经典,http://43.141.130.70/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
CCTV-1,http://58.209.253.230:8888/rtp/239.49.8.129:6000
CCTV-2,http://58.209.253.230:8888/rtp/239.49.8.130:6000
CCTV-3,http://58.209.253.230:8888/rtp/239.49.9.31:6000
CCTV-4,http://58.209.253.230:8888/rtp/239.49.8.131:6000
CCTV-4欧洲,http://124.65.3.44:20000/rtp/239.3.1.213:4220
CCTV-4美洲,http://124.65.3.44:20000/rtp/239.3.1.214:4220
CCTV-5,http://58.209.253.230:8888/rtp/239.49.9.32:6000
CCTV-5+,http://58.209.253.230:8888/rtp/239.49.8.137:6000
CCTV-6,http://58.209.253.230:8888/rtp/239.49.9.33:6000
CCTV-7,http://58.209.253.230:8888/rtp/239.49.8.132:6000
CCTV-8,http://58.209.253.230:8888/rtp/239.49.9.34:6000
CCTV-9,http://58.209.253.230:8888/rtp/239.49.8.133:6000
CCTV-10,http://58.209.253.230:8888/rtp/239.49.8.134:6000
CCTV-11,http://124.65.3.44:20000/rtp/239.3.1.152:8120
CCTV-12,http://58.209.253.230:8888/rtp/239.49.8.135:6000
CCTV-13,http://58.209.253.230:8888/rtp/239.49.9.43:6000
CCTV-14,http://124.65.3.44:20000/rtp/239.3.1.65:8132
CCTV-15,http://124.65.3.44:20000/rtp/239.3.1.153:8136
CCTV-16,http://124.65.3.44:20000/rtp/239.3.1.184:8001
CCTV-17,http://58.209.253.230:8888/rtp/239.49.8.132:6000
CCTV-4K,http://113.65.7.195:8888/udp/239.77.0.194:5146
电视指南,http://175.9.140.138:8888/udp/239.76.254.61:9000
第一剧场,http://175.9.140.138:8888/udp/239.76.254.49:9000
怀旧剧场,http://175.9.140.138:8888/udp/239.76.254.53:9000
风云剧场,http://175.9.140.138:8888/udp/239.76.254.50:9000
风云足球,http://175.9.140.138:8888/udp/239.76.254.52:9000
风云音乐,http://175.9.140.138:8888/udp/239.76.254.51:9000
央视台球,http://175.9.140.138:8888/udp/239.76.254.58:9000
央视高网,http://175.9.140.138:8888/udp/239.76.254.62:9000
女性时尚,http://175.9.140.138:8888/udp/239.76.254.55:9000
央视精品,http://175.9.140.138:8888/udp/239.76.254.56:9000
世界地理,http://175.9.140.138:8888/udp/239.76.254.57:9000
兵器科技,http://175.9.140.138:8888/udp/239.76.254.59:9000
卫生健康,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513503.m3u8
CGTN,http://58.209.253.230:8888/rtp/239.49.1.9:6000
CETV-1,http://171.116.15.2:8085/rtp/226.0.2.181:9360
CETV-2,http://58.209.253.230:8888/rtp/239.49.1.55:6000
CETV-3,http://124.65.3.44:20000/rtp/239.3.1.55:4120
CETV-4,http://58.209.253.230:8888/rtp/239.49.1.56:6000
CETV早期教育,http://171.116.15.2:8085/rtp/226.0.2.99:8704
老故事,http://110.179.81.164:8082/udp/239.1.1.87:8087
中学生,http://120.41.125.130:8888/rtp/239.61.3.73:9956
发现之旅,http://110.179.81.164:8082/udp/239.1.1.103:8103
中国天气,http://58.209.253.230:8888/rtp/239.49.1.58:6000
中国交通,http://124.65.3.44:20000/rtp/239.3.1.188:8001
CHC高清电影,http://124.115.207.92:8081/rtp/239.112.205.206:5140
CHC动作电影,http://171.116.15.2:8085/rtp/226.0.2.94:8012
CHC家庭影院,http://124.115.207.92:8081/rtp/239.112.205.205:5140

#备用
重温经典,http://1.62.64.234/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://61.240.228.5:8889/udp/228.1.1.44:6044
CCTV-4K,http://113.65.7.195:8888/udp/239.77.0.174:5146
CCTV-1,http://120.41.125.130:8888/rtp/239.61.3.61:9884
CCTV-2,http://120.41.125.130:8888/rtp/239.61.2.174:9032
CCTV-3,http://120.41.125.130:8888/rtp/239.61.3.34:9722
CCTV-4,http://120.41.125.130:8888/rtp/239.61.2.206:9224
CCTV-5,http://120.41.125.130:8888/rtp/239.61.3.35:9728
CCTV-5+,http://120.41.125.130:8888/rtp/239.61.2.171:9014
CCTV-6,http://120.41.125.130:8888/rtp/239.61.3.36:9734
CCTV-7,http://120.41.125.130:8888/rtp/239.61.2.175:9038
CCTV-8,http://120.41.125.130:8888/rtp/239.61.3.37:9740
CCTV-9,http://120.41.125.130:8888/rtp/239.61.2.172:9020
CCTV-10,http://120.41.125.130:8888/rtp/239.61.2.176:9044
